Xref,Exhibition Week,Dist,Title,Director,Cast,Run Time,Rating,IMAX/3D,Genre,Locations at Opening,Pattern,Producer(s),Production Company,Synopsis,Release,Year of Release,Month of Release,Week of Release,Reported Gross,Competition,Wide Competition,Number of Expansions,Locations at Widest,Released During Covid?,Day & Date
64894,1/6/12,PAR,"Devil Inside, The (2012)",William Brent Bell,"Bonnie Morgan, Fernanda Andrade, Simon Quarterman",83,R, ,"Horror, Suspense",2285,Wide,"Matthew Peterman, Morris Paulson","Insurge Pictures, Room 101","While trying to help her institutionalized mother, a young woman travels to Rome where she befriends two young priests/exorcists and soon finds herself wrapped up in a world of demons, possession and madness.",1/6/12,2012,1,1,53261944,1,0,0,2285,0,0
65654,1/13/12,UNI,Contraband,Baltasar Kormákur,"Kate Beckinsale, Mark Wahlberg",110,R, ,"Suspense, Foreign",2863,Wide,"Eric Fellner, Mark Wahlberg, Stephen Levinson, Tim Bevan","Relativity Media, Working Title Films",A security guard with financial troubles considers a return to his smuggling ways when an associate offers a potentially lucrative opportunity.,1/13/12,2012,1,2,66528000,3,0,0,2863,0,0
67530,1/13/12,DIS,Beauty And The Beast (1991) (re: 2012),"Gary Trousdale, Kirk Wise","Paige O'Hara, Robby Benson",84,G,3D,"Animation, Fantasy",2625,Wide,John Lasseter,Walt Disney Feature Animation,"Walt Disney Animation Studios' magical classic Beauty and the Beast returns to the big screen in Disney Digital 3D, introducing a whole new generation to the Disney classic with stunning new 3D imagery. The film captures the fantastic journey of Belle (voice of Paige O'Hara), a bright and beautiful young woman who's taken prisoner by a hideous beast (voice of Robby Benson) in his castle. Despite her precarious situation, Belle befriends the castle's enchanted staffa teapot, a candelabra and a mantel clock, among othersand ultimately learns to see beneath the Beast's exterior to discover the heart and soul of a prince.",1/13/12,2012,1,2,47617067,3,0,0,2625,0,0
65491,1/13/12,WB,Joyful Noise,Todd Graff,"Dolly Parton, Queen Latifah",118,PG13, ,"Drama, Comedy",2735,Wide,"Andrew A. Kosove, Broderick Johnson, Catherine Paura, Joseph Farrell, Michael G. Nathanson",Alcon Entertainment,Joyful Noise tells the story of an unlikely partnership between two strong-minded women who are forced to work together to save a small town Gospel Choir after budget cuts threaten to shut them down.  Music is a very important component to the story.,1/13/12,2012,1,2,30932113,3,0,0,2735,0,0
56574,1/20/12,SNY,Underworld Awakening,"Björn Stein, Måns Mårlind","Kate Beckinsale, Stephen Rea",89,R,"IMAX, 3D","Action, Fantasy",3078,Wide,"Gary Lucchesi, Len Wiseman, Richard Wright, Tom Rosenberg","Lakeshore Entertainment, Saturn Films, Screen Gems, Sketch Films","UNDERWORLD AWAKENING brings a stunning new dimension to the epic battle between Vampires and Lycans, as the first film in the franchise to shoot in 3D.  Kate Beckinsale, star of the first two films, returns in her lead role as the vampire warrioress Selene, who escapes imprisonment to find herself in a world where humans have discovered the existence of both Vampire and Lycan clans, and are conducting an all-out war to eradicate both immortal species.",1/20/12,2012,1,3,62321039,2,1,0,3078,0,0
66278,1/20/12,FOX,Red Tails,Anthony Hemingway,"Cuba Gooding Jr., Gerald McRaney",125,PG13, ,"Action, Adventure",2512,Wide,Rick McCallum, ,"The story of the Tuskegee Airmen, the first African-American pilots to fly in a combat squadron during World War II.",1/20/12,2012,1,3,49876377,2,0,0,2512,0,0
65302,1/27/12,LGF,One for the Money,Julie Anne Robinson,"Daniel Sunjata, Jason O'Mara, John Leguizamo, Katherine Heigl",91,PG13, ,"Comedy, Action",2737,Wide,"André Lamal, Gary Lucchesi, Sidney Kimmel, Tom Rosenberg, Wendy Finerman","Lakeshore Entertainment, Sidney Kimmel Entertainment, Wendy Finerman Productions","Stephanie Plum (Katherine Heigl) can't catch a break.  At 30, she finds herself newly-divorced, recently laid-off, and living with her hamster in Trenton, N.J.  Broke and desperate, she lands a job working for her slimy cousin and his bail bond business.  In need of fast cash she latches on to his biggest case  a local cop wanted for murder who just happens to be the guy that broke her heart in high school.  Stephanie gets resourceful and tough, as she is swept up in a suspenseful world of murder, deceit, with a bit of romance.",1/27/12,2012,1,4,26414527,2,0,0,2737,0,0
68216,1/27/12,LGF,Man On A Ledge,Asger Leth,"Elizabeth Banks, Jamie Bell, Sam Worthington",103,PG13, ,"Suspense, Action",2998,Wide,"Lorenzo di Bonaventura, Mark Vahradian","Di Bonaventura Pictures, Summit Entertainment","From Summit Entertainment. An ex-cop and now wanted fugitive (Sam Worthington) stands on the ledge of a high-rise building while a hard-living New York Police Department hostage negotiator (Elizabeth Banks) tries to talk him down.  The longer they are on the ledge, the more she realizes that he might have an ulterior objective.",1/27/12,2012,1,4,18620000,2,0,0,2998,0,0
64890,2/3/12,FOX,Chronicle,Josh Trank,"Alex Russell, Dane DeHaan, Michael B. Jordan",84,PG13, ,"Action, Drama",2907,Wide,"Adam Schroeder, John Davis",Davis Entertainment,"In the new century, we record, post and comment on every second of our lives, sharing our every emotion and opinion with the world, no matter how mundane. But for three friends who stumble upon a life-changing discovery, the chronicle of their ordinary lives is about to take an extraordinary turn.",2/3/12,2012,2,5,64575175,2,1,0,2907,0,0
65361,2/3/12,UNI,Big Miracle,Ken Kwapis,"Drew Barrymore, John Krasinski",101,PG, ,"Drama, Adventure",2129,Wide,"Michael Sugar, Steve Golin","Anonymous Content, DENTSU Music And Entertainment, Working Title Films","Based on the inspiring true story that captured the hearts of people across the world, the rescue adventure EVERYBODY LOVES WHALES tells the amazing tale of a small town news reporter (John Krasinski) and a Greenpeace volunteer (Drew Barrymore) who are joined by rival world superpowers to save a family of majestic gray whales trapped under the ice of the Arctic Circle.     Local newsman Adam Carlson (Krasinski) can't wait to escape the northern tip of Alaska for a bigger market.  But just when the story of his career breaks, the world comes chasing it, too. With an oil tycoon, heads of state and hungry journalists descending upon the frigid outpost, the one who worries Adam the most is Rachel Kramer (Barrymore).  Not only is she an outspoken environmentalist, she's also his ex-girlfriend.    With time running out, the unlikely coalition of Inuit whalers and Russian and American military must set aside competing agendas to rescue the baby whale and his parents.  As Rachel and Adam turn attention to the top of the globe, saving these endangered animals becomes a shared cause for nations entrenched against one another and leads to a thaw in the Cold War.",2/3/12,2012,2,5,20157300,2,0,0,2129,0,0
